epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.165,1.44182,2.13733,1.71754,0.51417,0.60372,0.53206,0.25094,1.55449,2.4125,2.09664,0.000661458,0.000661458,0.000661458
2,685.207,1.52132,1.93191,1.78934,0.3426,0.53251,0.34258,0.12529,1.9673,3.59799,2.99674,0.00130183,0.00130183,0.00130183
3,994.84,1.60072,1.83352,1.86355,0.65218,0.5805,0.62769,0.24502,1.86612,2.33957,2.49382,0.0019158,0.0019158,0.0019158
4,1312.35,1.60444,1.78035,1.84283,0.54943,0.62229,0.5703,0.23501,1.80036,2.21489,2.42333,0.0018812,0.0018812,0.0018812
5,1623.1,1.55858,1.63082,1.81954,0.59497,0.57276,0.62712,0.24972,1.9626,1.92014,2.51989,0.0018416,0.0018416,0.0018416
6,1930.91,1.54987,1.59957,1.81389,0.83824,0.63467,0.77478,0.34691,1.78856,1.49472,2.27122,0.001802,0.001802,0.001802
7,2249.59,1.51854,1.48344,1.7556,0.71923,0.70585,0.74226,0.34581,1.69031,1.62569,2.20838,0.0017624,0.0017624,0.0017624
8,2557.7,1.47839,1.45146,1.75112,0.85782,0.72851,0.8336,0.41821,1.62172,1.32549,2.12203,0.0017228,0.0017228,0.0017228
9,2868.12,1.43863,1.43207,1.69812,0.86768,0.72136,0.83555,0.42512,1.60051,1.25254,2.07185,0.0016832,0.0016832,0.0016832
10,3177.01,1.43361,1.37166,1.70589,0.7898,0.76777,0.83206,0.43773,1.60763,1.24933,2.0702,0.0016436,0.0016436,0.0016436
11,3486.33,1.39545,1.33163,1.67184,0.84335,0.73339,0.85243,0.43456,1.62851,1.17903,2.03308,0.001604,0.001604,0.001604
12,3795.22,1.39906,1.31474,1.66141,0.84788,0.74613,0.84773,0.44623,1.54229,1.21417,1.95863,0.0015644,0.0015644,0.0015644
13,4105.9,1.37328,1.25792,1.64531,0.90518,0.78019,0.87457,0.47577,1.53029,1.10607,1.9883,0.0015248,0.0015248,0.0015248
14,4414.12,1.34182,1.24697,1.60717,0.89558,0.82043,0.90054,0.52214,1.39935,1.02114,1.8264,0.0014852,0.0014852,0.0014852
15,4723.74,1.36056,1.22449,1.64463,0.90156,0.7709,0.90049,0.5061,1.40931,0.99129,1.83403,0.0014456,0.0014456,0.0014456
16,5032.5,1.31939,1.14587,1.58701,0.92118,0.79601,0.9106,0.52421,1.35752,0.97043,1.77666,0.001406,0.001406,0.001406
17,5345.91,1.3089,1.13293,1.56924,0.88403,0.82353,0.89976,0.50812,1.39709,0.98687,1.84284,0.0013664,0.0013664,0.0013664
18,5657.19,1.29521,1.1325,1.58393,0.88553,0.73375,0.85706,0.44022,1.56917,1.22072,2.01175,0.0013268,0.0013268,0.0013268
19,5965.82,1.3049,1.11204,1.56146,0.90167,0.85171,0.91002,0.52949,1.36964,0.92957,1.81798,0.0012872,0.0012872,0.0012872
20,6274.72,1.28088,1.10875,1.54771,0.89406,0.86224,0.92979,0.55886,1.31642,0.87219,1.75642,0.0012476,0.0012476,0.0012476
21,6584.1,1.24789,1.05493,1.54026,0.86084,0.90402,0.93407,0.55172,1.40999,0.89666,1.82763,0.001208,0.001208,0.001208
22,6894.56,1.25214,1.06281,1.5396,0.93696,0.87431,0.94404,0.56664,1.34057,0.85128,1.78703,0.0011684,0.0011684,0.0011684
23,7205.17,1.24105,1.04965,1.52715,0.89323,0.85472,0.92315,0.55873,1.3219,0.87791,1.76598,0.0011288,0.0011288,0.0011288
24,7516.77,1.25493,1.03002,1.53224,0.91239,0.87054,0.93024,0.55902,1.33216,0.87454,1.73706,0.0010892,0.0010892,0.0010892
25,7827.55,1.22549,1.00902,1.52104,0.90815,0.85707,0.93445,0.57687,1.30524,0.84688,1.73704,0.0010496,0.0010496,0.0010496
26,8138.08,1.18357,0.96002,1.48729,0.91697,0.89783,0.94925,0.56634,1.31778,0.81588,1.75331,0.00101,0.00101,0.00101
27,8450.07,1.21354,0.97615,1.49997,0.91286,0.87572,0.93286,0.55301,1.4,0.87765,1.87891,0.0009704,0.0009704,0.0009704
28,8761.17,1.17268,0.93963,1.48455,0.9788,0.88545,0.96009,0.58507,1.31043,0.78088,1.75739,0.0009308,0.0009308,0.0009308
29,9075.28,1.1732,0.9272,1.49337,0.91277,0.90714,0.94708,0.59008,1.30554,0.78809,1.72911,0.0008912,0.0008912,0.0008912
30,9388.55,1.18529,0.92273,1.49205,0.94661,0.89474,0.94558,0.5759,1.35403,0.79271,1.76545,0.0008516,0.0008516,0.0008516
31,9703.96,1.167,0.92753,1.47349,0.9057,0.90093,0.93672,0.58233,1.30282,0.79235,1.75837,0.000812,0.000812,0.000812
32,10020.4,1.12674,0.87099,1.44845,0.93275,0.90173,0.94898,0.5902,1.28131,0.7652,1.71556,0.0007724,0.0007724,0.0007724
33,10340.2,1.13462,0.86406,1.4588,0.91006,0.90847,0.95408,0.58309,1.27452,0.77096,1.71317,0.0007328,0.0007328,0.0007328
34,10650.6,1.13706,0.87009,1.43749,0.91216,0.90402,0.94967,0.57224,1.3041,0.77511,1.74145,0.0006932,0.0006932,0.0006932
